Mol. wt.,JR Tm /K,EnthalpyFus,CRC Tm /K
125.19599999999996,316.04,14.19,299.15
118.13899999999995,355.84000000000003,14.24,324.15
118.13899999999995,355.84000000000003,14.24,359.35
266.2529999999998,755.9899999999999,49.06,446.15
169.2270000000001,373.62,19.73,322.28
169.2270000000001,373.62,19.73,324.15
103.12099999999997,363.7,17.93,467.45
208.2610000000001,392.65,29.91,368.15
237.0970000000001,466.65,25.16,391.15
195.1740000000001,546.15,30.85,494.15
171.58300000000006,493.89,26.69,461.15
143.57300000000006,421.22,20.13,413.15
206.028,536.33,30.49,475.15
178.01800000000003,463.66,23.93,368.65
199.12200000000004,691.04,38.26,441.15
105.13699999999994,301.15,16.59,260.65
151.2090000000001,331.69000000000005,15.35,350.65
119.16399999999992,353.43000000000006,14.66,310.65
117.19199999999992,301.46000000000004,20.58,330.15
153.13700000000006,563.17,28.66,526.65
119.11999999999996,424.52,22.02,489.15
126.11899999999996,569.56,27.37,443.15
157.21300000000014,426.92,24.72,522.15
123.15499999999994,402.57,18.52,449.65
105.13699999999996,342.16,12.07,384.08
103.12099999999997,363.7,17.93,458.15
171.2840000000002,393.24,12.32,318.65
159.18800000000007,469.08,23.31,443.15
182.135,607.5799999999999,33.85,542.15
163.13600000000005,511.97,25.21,476.65
154.12500000000006,534.91,27.29,478.95
159.22900000000016,408.78,28.29,543.15
131.131,439.9,25.65,391.15
109.12799999999996,378.78,16.32,446.65
109.12799999999996,378.78,16.32,459.15
150.18100000000007,404.71,21.93,439.65
135.16600000000005,339.53000000000003,17.31,293.15
135.16600000000005,352.05000000000007,16.92,378.15
149.1930000000001,363.3200000000001,19.51,413.15
75.11099999999996,252.65,9.29,274.85
151.2090000000001,397.59,20.56,398.65
108.10399999999998,501.36,22.08,446.15
164.41900000000004,333.56,11.87,346.15
309.40899999999954,504.2,38.68,316.54999999999995
260.46500000000015,397.37,16.55,323.15
292.46299999999934,510.53,26.87,496.15
209.2450000000001,557.58,29.83,460.65
221.25600000000009,518.5,39.16,359.15
275.5259999999999,638.63,39.0,432.45
137.13800000000003,451.45,22.88,417.75
137.13800000000003,451.45,22.88,461.35
265.35999999999984,571.6500000000001,39.31,395.15
178.2340000000001,351.88,19.71,489.15
222.24300000000005,536.27,32.05,524.65
222.24300000000005,536.27,32.05,492.15
208.26000000000008,436.49,26.0,433.65
226.23100000000005,687.0400000000001,37.06,481.15
194.2330000000001,463.6,25.49,425.15
152.1460000000001,405.21,18.58,375.65
152.1460000000001,405.21,18.58,375.65
150.13000000000008,386.39,16.78,437.65
150.13000000000008,386.39,16.78,437.65
150.13000000000008,386.39,16.78,437.65
176.12400000000005,471.73,27.07,464.15
414.5389999999994,633.56,68.79,385.15
294.3069999999996,632.74,45.33,519.65
133.10300000000004,524.3,28.08,550.65
133.10300000000004,524.3,28.08,543.15
215.68800000000013,566.24,35.85,450.15
128.17399999999995,261.58000000000004,12.72,372.15
258.104,513.6,38.79,345.54999999999995
325.4079999999996,502.77,40.33,352.15
229.28200000000007,502.4500000000001,29.24,405.15
228.29400000000007,442.18,26.7,433.15
120.15099999999994,248.34000000000003,12.81,306.65
136.15000000000006,366.94000000000005,20.66,349.85
117.15099999999995,271.33000000000004,12.02,251.05
138.12200000000004,298.22,16.38,315.15
108.14399999999996,362.84,15.34,376.15
108.14399999999996,362.84,15.34,413.45
203.02400000000003,378.56000000000006,21.72,316.65
164.16400000000007,485.24,23.72,495.15
138.16600000000008,340.5,18.3,339.15
138.16600000000008,340.5,18.3,390.65
194.1860000000001,326.06,24.05,396.65
142.24800000000005,269.24,13.03,301.65
121.18299999999994,289.6,15.71,273.15
124.20799999999994,231.53000000000003,11.97,243.15
134.17800000000005,259.61,15.4,320.15
150.17700000000008,378.21,23.25,321.54999999999995
179.2190000000001,354.47,25.26,376.55
110.18099999999995,220.26,9.38,258.28
210.141,724.45,42.76,482.15
210.141,724.45,42.76,653.15
126.11099999999996,506.44,23.08,398.65
126.11099999999996,506.44,23.08,489.15
298.4259999999995,546.44,36.64,437.15
210.23200000000008,400.24,23.3,367.99
118.13899999999995,407.1,20.55,445.35
278.3539999999997,532.48,33.69,398.55
137.13800000000003,378.69,25.37,315.15
152.14900000000006,367.52,26.85,331.15
218.20800000000008,502.22,43.67,488.95
252.3160000000001,516.22,31.48,438.35
216.28300000000007,433.67,24.98,462.75
118.13499999999996,268.37,16.39,255.15
134.13400000000004,290.41,15.76,323.15
136.15400000000005,380.92,19.73,388.15
212.24800000000008,396.13,22.26,410.15
276.33799999999974,590.26,36.27,553.15
182.2220000000001,339.04,19.11,321.15
146.14500000000004,298.92,17.47,320.15
252.3160000000001,516.22,31.48,452.15
179.2220000000001,412.15,22.25,365.15
136.17900000000003,445.79,17.17,316.85
150.20600000000005,481.30000000000007,19.43,360.15
165.22100000000006,533.96,24.44,475.95
134.20300000000003,325.25,12.07,304.48
119.12699999999997,467.37,23.1,373.15
119.12299999999996,328.64000000000004,18.94,302.51
211.22000000000008,546.9200000000001,33.92,396.65
257.245,687.81,42.24,533.65
226.23100000000005,523.4300000000001,31.45,472.15
258.32,445.6,28.3,374.65
140.56900000000005,274.92,13.72,272.65
124.11399999999996,245.59,12.61,245.15
232.02,303.06,13.93,276.15
313.35299999999967,587.0999999999999,43.7,392.65
150.17700000000008,259.94000000000005,17.48,221.65
183.2540000000001,384.89,22.32,307.65
240.3020000000001,468.52,31.9,363.15
212.24800000000008,342.71000000000004,24.47,292.15
238.2860000000001,360.17,29.85,312.15
290.4469999999994,372.64,43.38,281.65
296.3219999999997,425.04,39.4,332.15
182.2660000000001,312.90000000000003,19.71,279.76
122.16699999999992,228.57,11.7,220.55
280.2799999999997,636.47,46.26,407.65
322.36099999999965,624.68,50.32,373.15
152.1930000000001,300.66,18.38,198.15
184.23800000000008,400.83,23.29,357.15
175.27500000000012,363.83,22.3,289.95
169.22700000000006,349.38,20.06,285.54999999999995
149.21800000000005,305.73,16.15,316.15
328.27299999999974,819.19,62.13,511.15
354.45199999999977,639.0400000000001,42.88,594.45
94.15699999999994,201.77,9.28,319.35
154.25300000000016,280.84000000000003,14.68,293.15
422.8739999999996,517.61,45.89,342.15
254.33200000000008,458.44,28.9,432.15
286.3299999999997,681.8800000000001,40.46,493.15
154.21200000000007,277.84000000000003,14.92,342.08
179.2220000000001,366.62,18.63,361.15
184.2420000000001,469.4,24.53,354.15
242.23000000000005,646.62,39.61,506.65
186.2100000000001,501.28,26.48,370.65
218.20800000000008,724.72,38.05,583.15
196.24900000000008,362.83,21.31,394.15
156.18800000000007,398.38000000000005,20.01,343.04999999999995
156.18800000000007,398.38000000000005,20.01,341.15
256.30800000000005,578.98,33.99,469.15
361.39699999999976,583.2,44.43,407.15
103.16899999999994,354.02,21.52,234.15
248.3760000000001,538.2,32.79,366.15
212.2960000000001,491.94,29.71,410.15
263.95999999999987,338.46,20.7,368.15
263.95999999999987,338.46,20.7,417.65
328.0029999999998,444.71,25.9,327.15
368.5609999999994,702.71,43.77,396.15
218.12700000000007,321.19000000000005,27.11,318.15
159.08100000000007,229.08,18.64,286.65
175.05800000000008,278.7,18.52,307.15
114.959,194.37,10.52,231.65
173.0390000000001,330.01,17.86,356.15
287.2359999999998,431.52,30.79,345.95
267.15499999999975,448.50000000000006,24.39,343.15
237.12900000000008,373.99,25.12,328.65
421.75199999999984,428.06,24.22,389.65
307.9909999999999,469.83,31.34,344.15
118.029,106.89,7.4,149.99999999999997
270.3759999999997,469.99,33.7,375.15
250.3820000000002,537.3,27.59,453.15
222.2400000000001,397.42,35.09,315.65
412.6549999999992,426.17,62.2,195.15
390.56399999999945,453.8399999999999,53.26,218.15
706.148,743.12,72.84,309.04999999999995
287.16699999999986,620.5600000000001,38.23,447.15
287.4439999999994,474.12,49.99,311.85
148.20600000000013,384.34,29.49,373.25
195.2620000000001,406.78,29.1,337.65
254.23800000000008,470.24,37.4,382.65
274.2719999999997,654.52,37.45,412.25
352.3389999999997,446.05,44.73,290.45
200.23700000000008,512.55,29.07,435.65
364.4409999999996,482.49000000000007,38.77,346.15
282.29199999999963,415.6,36.78,213.15
246.4000000000001,394.22,27.58,320.65
270.37199999999973,394.76,18.01,313.15
214.33300000000008,359.82000000000005,23.45,330.45
308.33999999999986,658.9,45.12,357.15
272.25999999999976,612.6400000000001,42.04,454.95
354.8319999999999,577.3600000000001,31.81,469.15
356.0569999999999,705.44,45.85,461.15
394.5109999999996,472.88,71.6,471.15
196.29000000000016,339.01,14.92,300.15
153.26900000000018,357.4,10.57,436.15
172.69900000000015,304.06,9.57,401.15
527.4140000000007,854.7499999999999,60.93,478.15
543.8750000000006,826.7900000000001,46.42,452.15
138.94800000000004,332.70000000000005,16.36,323.15
199.04700000000005,316.07000000000005,17.4,324.15
172.02500000000003,339.38,15.43,304.04999999999995
172.02500000000003,339.38,15.43,336.02
187.03600000000003,289.62,14.01,286.65
215.04600000000005,439.26,25.56,389.15
196.04700000000005,316.13,13.79,302.15
189.07700000000003,292.58000000000004,14.27,346.15
201.019,427.99,22.97,429.85
182.02000000000004,332.38,14.33,328.65
182.02000000000004,332.38,14.33,387.15
219.46500000000003,347.24,18.62,284.15
