EnthalpyFus,JR Tm /K,CRC Tm /K
45.07,341.15,301.54999999999995
42.48,329.88,290.65
16.58,217.18,188.25
22.69,439.93,386.15
14.64,314.18,275.25
14.64,314.18,363.52
20.16,394.17,314.65
17.63,363.17,299.15
13.21,254.87,271.65
16.92,343.65,369.65
10.47,190.91,161.14999999999998
15.41,278.66,294.15
20.2,345.17,329.15
24.18,411.0,332.45
29.97,522.72,421.15
19.6,339.86,324.15
3.99,197.06,256.35
17.61,333.9,331.15
26.4,495.51,384.65
21.59,399.73,327.15
20.93,451.04,404.65
47.66,352.42,300.75
31.9,400.32,311.65
24.08,309.15000000000003,242.15
10.47,190.91,177.64999999999998
24.13,366.51,313.15
16.41,355.32,278.75
16.41,355.32,336.15
22.02,381.25,441.15
17.01,328.59000000000003,323.65
24.0,411.36,355.65
5.29,168.37,184.25
18.95,343.97,335.65
9.01,178.29,160.14999999999998
7.53,181.61,153.84999999999997
19.58,299.64,283.85
13.17,303.87,233.05
13.17,303.87,273.65
20.16,394.17,297.15
16.37,392.26,367.65
12.82,267.39,235.05
8.81,253.01,267.54999999999995
8.05,176.29000000000002,179.24999999999997
14.65,271.58000000000004,274.15
30.3,594.0799999999999,291.15
29.53,273.53,263.25
16.0,261.06000000000006,266.15
16.0,261.06000000000006,280.15
14.13,276.9,220.45
38.02,581.09,360.15
6.97,139.59,136.95
14.62,222.04,275.45
8.41,176.84,176.28999999999996
6.12,134.84,134.84999999999997
10.77,241.48,196.15
7.25,226.48,280.15
9.31,234.7,271.95
14.2,207.76,219.25
50.0,792.3199999999999,509.65
10.16,171.3,157.48999999999998
16.26,295.44,268.03
6.68,180.66,184.71
11.91,214.69,184.15
8.61,171.76,196.55
6.32,129.76,134.26
6.32,129.76,167.63
9.33,259.74,369.15
14.49,251.4,284.15
14.49,251.4,300.15
7.82,194.75,221.65
6.34,198.07,186.15
16.46,290.36,288.15
16.46,290.36,344.45
10.41,190.58,243.15
15.9,223.8,230.05
16.57,240.43,198.35
32.37,449.58,427.15
41.68,638.8199999999999,332.45
12.14,184.71,174.24999999999997
22.44,272.18,237.55
11.31,218.1,224.15
3.9,220.52,206.23
12.98,273.28,317.15
13.09,327.08,290.15
15.7,228.88,185.34
8.28,231.3,215.31
19.85,454.74,401.15
20.63,415.69,353.65
20.63,415.69,437.15
20.85,222.25,181.65
34.49,496.9,364.65
13.49,209.84,198.47
11.24,268.84000000000003,318.15
11.24,268.84000000000003,355.15
11.24,268.84000000000003,356.15
13.0,202.09,165.2
12.68,278.88,255.15
18.47,390.6,295.45
18.47,390.6,355.54999999999995
36.01,655.28,399.15
13.07,266.36,234.75
5.07,182.03,179.14999999999998
19.83,315.25,316.15
8.01,194.2,187.25
26.03,244.79,223.15
3.98,220.31,279.15
17.46,389.04,324.15
28.44,394.2000000000001,341.65
11.67,277.32000000000005,292.25
17.46,389.04,338.15
10.48,255.09,231.79
9.89,168.34,157.45
16.27,366.81,319.65
16.27,366.81,300.65
22.69,319.18,253.45
33.79,278.6,235.15
57.31,374.95,246.75
23.44,233.52,189.38
14.07,343.02,267.54999999999995
21.48,340.6,295.15
14.07,343.02,373.15
14.67,316.29,290.85
30.65,474.85,377.65
11.8,271.9,401.15
30.59,473.54,370.15
37.86,443.30000000000007,301.65
16.99,316.96000000000004,442.15
11.79,264.6,236.25
